
0x0011417f ファイアー
0x0011418a サンダー
0x00114193 ウォータードラゴン
0x001141a6 フレイムドラゴン
0x001141b7 ビッグウェイブ
0x001141c6 シューティングスター
0x001141db フレイムバード
0x001141ea スモール
0x001141f6 ラウンド
0x00114202 ナイツ
0x0011420c テレポートの魔法
0x0011421d 封印のカギ
0x00114228 サーフボード
0x00114235 神々のツバサ
0x00114242 リーフの秘薬
0x0011424f ろう屋の鍵
0x0011425a パン
0x0011425f ほし肉
0x00114266 ゲミルポーション
0x00114277 ノーマルロッド
0x00114286 アロー
0x00114290 サンダー
0x0011429c ３ＷＡＹ
0x001142ae シールド
0x001142b7 ロッドＬＶ
0x001142c2 ドラゴン

0x0011a331 ［ミリー］
0x0011a340 あああ〜！！　にげる気だあ〜！！
0x0011a367 ［フレイ］
0x0011a376 や、や〜ね〜。そんなコトしないってば。あはは。
0x0011a3a9 ［フレイ］
0x0011a3b6 さっさと通りぬけてレイジアの村へ急ぎましょ。
0x0011a3e7 ［フレイ］
0x0011a3f4 急ぎましょ。
0x0011a403 ［フレイ］
0x0011a410 もうこの先に用はないわね。戻りましょ。
0x0011a43b ［フレイ］
0x0011a448 なんだか気味が悪いところね。
0x0011a469 ［したっぱ１］
0x0011a47a ははっ！　われらがアルセイデス様親衛隊隊員、
0x0011a4a9 ナンバー００９、
0x0011a4bb “疾風のアミナス”まいるっ！
0x0011a4dc ［したっぱ２］
0x0011a4ed ならばこの私、
0x0011a4fd アルセイデス様親衛隊隊員、
0x0011a51a ナンバー０５３、“灼熱のレイモ
0x0011a539 ンド”にお任せあれ！
0x0011a552 ［したっぱ３］
0x0011a563 ならば、アルセイデス様親衛隊隊員、
0x0011a588 ナンバー１０８、“緑玉のレマ　
0x0011a5a7 コット”がしかと引き受けた！
0x0011a5c8 ［したっぱ４］
0x0011a5d9 お待ちください！
0x0011a5ea アルセイデス様親衛隊の中でも
0x0011a609 ゴールドの称号を冠する
0x0011a621 このエルミナ・コアと！
0x0011a63c ［したっぱ５］
0x0011a64d アルセイデス様親
0x0011a65e 衛隊、シルバーの称号を頂く
0x0011a67b ボウ・サーギルが！
0x0011a692 ［したっぱ４としたっぱ５］
0x0011a6b0 喜んでアルセイデス様のタテと　
0x0011a6cf なりましょうぞ！！
0x0011a6e6 ［アルセイデス］
0x0011a6f9 ほーっほっほっ
0x0011a708 ほ！　こりずにまた来たわね。
0x0011a727 青くさい小娘がアタシに勝とうな
0x0011a746 んて、１０万年はやいのよ！
0x0011a763 さぁ、おまえたち、キリキリかた
0x0011a782 づけておしまいっ！
0x0011a799 ［フレイ］
0x0011a7a6 教えてあげるわ、私が
0x0011a7bb あなたに勝てたそのワケを。
0x0011a7da ［アルセイデス］
0x0011a7ed それは・・・？
0x0011a800 ［フレイ］
0x0011a80f それは・・・
0x0011a81d ズバリ、
0x0011a826 “ぴちぴちの若さ”よ！
0x0011a841 ［アルセイデス］
0x0011a854 そ、そうか、
0x0011a862 “ぴちぴちの若さ”か・・・！
0x0011a881 なるほど、おまえの言うとおりか
0x0011a8a0 もしれないわね・・・。
0x0011a8b9 さあ行くがよい、その“ぴちぴち
0x0011a8d8 の若さ”を武器にして！
0x0011a8f3 ［フレイ］
0x0011a900 はいっ！
0x0011a90b ・・・ってなんで私が返事しな
0x0011a929 きゃならないのよっ！
0x0011a940 とにかくっ、負けたんだから、
0x0011a95e さっさとどいてよね！
0x0011a977 ［アルセイデス］
0x0011a98a く、くやしい！
0x0011a99d ［フレイ］
0x0011a9aa やったね！　さ、先を急ごうっと！
0x0011a9d1 ［サムス］
0x0011a9e2 んあ？　いたっけ、　そんなの？
0x0011aa07 ［メネア］
0x0011aa16 この町じゃないけど
0x0011aa2b となりのレイジアの村にいたアレじゃない？
0x0011aa5a ［サムス］
0x0011aa69 ああ！　アレね！
0x0011aa7c ボクたちのこと、カゲからジロジロ見てたヤツだな。
