0x000bd7d0 通信エラーが発生しました！
0x000bd7eb 電源を切り、
0x000bd7f8 ワイヤレスアダプタとの
0x000bd80f 接続を確認してください。
0x000bd828 通信中は障害物を避け、
0x000bd83f 通信相手に近づいてください。
0x000bd88c ますます力が
0x000bd899 みなぎっていくであります！
0x000bd8b4 ケロロ、行きまーす！！
0x000bd8cc ここで一発
0x000bd8d7 共鳴をするであります！！
0x000bd8f0 これは駆け引きなんだよ！
0x000bd90c 我輩をここまで
0x000bd91b 追い詰めるとは…
0x000bd92c う、撃つぞ！
0x000bd939 撃つぞ！撃つぞぉ！
0x000bd94c うぜぇんだよー！！
0x000bd95f このぉぉぉー！！
0x000bd970 うたるっぞ
0x000bd97b ぬっしゃあ〜ッ！！
0x000bd990 これでも食らえですぅ
0x000bd9a5 タママインパクト！！
0x000bd9bc レースは、走っている限り
0x000bd9d5 攻撃しないといけないのですぅ
0x000bd9f4 タママ流超秘奥義
0x000bda05 嫉妬だまぁぁぁ…！！
0x000bda1c 見える！
0x000bda25 僕にも敵がみえるですぅ
0x000bda3c 愚か者め！！
0x000bda49 俺にこれを使わせるとは！！
0x000bda64 レースとは、つねに二手三手
0x000bda7f 先を読んで行うものだ！！
0x000bda98 貴様の力
0x000bdaa1 どれくらいかためさせてもらう
0x000bdac0 チャンスは最大限に生かす
0x000bdad9 それが私の主義だ！！
0x000bdaf0 俺の本分は機動歩兵
0x000bdb03 白兵戦闘で俺には勝てん！
0x000bdb1c 貴様を野放しにはできんのだ！
0x000bdb3c 俺の前を走るとは
0x000bdb4d いい度胸だぜぇ！！
0x000bdb60 く〜っくっくっく…
0x000bdb73 圧倒的じゃないか我がマシンは
0x000bdb90 くっくっくっく…
0x000bdba1 これでも聞いときなぁ！！
0x000bdbbc マシンの性能を当てにしすぎる
0x000bdbd9 技はもっと有効に行うべきだ
0x000bdbf4 くっくっくっく…
0x000bdc05 俺の前を走るなよ！！
0x000bdc1c く〜っくっくっく…
0x000bdc2f まだだ、まだ終わらんよ
0x000bdc48 僕たち
0x000bdc4f 友達だよねぇ
0x000bdc5c やはり許せぬと分かった
0x000bdc73 ケリをつけるでござる！
0x000bdc8c 必ず当ててみせるでござる
0x000bdca5 覚悟！！
0x000bdcb0 これで当たらなければ
0x000bdcc5 おめでとうでござる！
0x000bdcdc 間合いを
0x000bdce5 一気につめるでござる！
0x000bdcfc 素人でござるな
0x000bdd0b 間合いが甘いでござる！
0x000bdd24 すもも
0x000bdd2b いっきまーす
0x000bdd38 意外と速くなるものだね
0x000bdd50 マネージャーさんに
