
0x0017f05a このままゲームを始める。
0x0017f075 何番にコピーしますか？
0x0017f08c （上下に動かし番号を変えます）
0x0017f0bf 消してもよろしいですか？

0x0017f0ed メモリーベース１２８に書き込むことが出来ません。
0x0017f121 メモリーベース１２８のファイルを読むことが出来ません。
0x0017f15b 内蔵ラムに書き込むことが出来ません。
0x0017f183 このファイルは実行出来ません。
0x0017f1a5 ぽっぷるメイルのファイルでないとコピー出来ません。
0x0017f1db タイトルに戻ります。
0x0017f1f0 よろしいですか？

0x0017f216 バックアップラムが初期化されていません。
0x0017f23f 初期化しますか？

0x0017f265 ゲームをセーブ出来ません。
0x0017f283 メモリーベース１２８
0x0017f299 の接続に異常があります。
0x0017f2b5 メモリーベース１２８
0x0017f2cb が初期化されていません。
0x0017f2e4 初期化しますか？

0x0017f30a 初期化しました。
0x0017f31e メモリーベース１２８
0x0017f334 は接続されていません。
0x0017f34e メモリーベース１２８
0x0017f364 は使用しません。
0x0017f378 メモリーベース１２８
0x0017f38e は使用出来ません。
0x0017f3a4 バックアップのタイプを選んで
0x0017f3c1 下さい。
0x0017f3cc １ボタンを押すとコマンド選択
0x0017f3e9 ２ボタンを押すとタイトルに戻ります。
0x0017f410 コマンドを選んで下さい。
0x0017f42b ファイルを選んで下さい。
0x0017f444 セレクトボタンで次のページにする事が出来ます。
0x0017f476 現在セーブ出来るファイル数は
0x0017f498 個です。（セーブは内蔵のバックアップラムに行われます。）
0x0017f4fe ユ中｡
0x0017f51e 「ぽっぷるメイル」のファイルではありません。
0x0017f54d 「ジャングル　
0x0017f55e 「古代の洞窟　
0x0017f56f 「鉱山　
0x0017f57a 「幻影世界　
0x0017f589 「海底世界　
0x0017f598 「機械世界　
0x0017f5a7 「氷山　
0x0017f5b2 「アルカザール城　
0x0017f5c7 エルフの森
0x0017f5d8 大樹木の塔
0x0017f5e9 ゴーレムの塔
0x0017f5fc 風穴の入口
0x0017f60d 化石の洞窟
0x0017f61e 地下泉洞
0x0017f62d 怪獣の巣
0x0017f63c ゴルアデス
0x0017f658 古代神殿
0x0017f667 ツェイマー
0x0017f678 偽りの荒野
0x0017f689 偽りの塔
0x0017f698 幻影城
0x0017f6a5 船の墓場
0x0017f6b4 海底神殿
0x0017f6c3 海底宮殿
0x0017f6d2 異次元の街
0x0017f6e3 組み立て工場
0x0017f6f6 次元要塞
0x0017f710 リップの山
0x0017f721 ラップの船
0x0017f732 水晶神殿
0x0017f741 正面城壁
0x0017f750 宝物庫
0x0017f75d 地下迷宮
0x0017f76c 封玉宮

0x0017f779 ガイストレイス

0x00308b0f メイル
0x00308b1b タット

0x0030a2ee 　　　　　　　　　　　　ゴールド

0x0030a394 ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x0030a3d2 ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x0030a414 ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x0030a456 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x0030a498 ライトセイバー　現存する剣の中で最強を誇る剣。
0x0030a4c8 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x0030a50a ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x0030a53c サンダーの魔法　雷の槍が敵を　　貫通
0x0030a562 ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x0030a5a4 フォース　　　　自らの魔力を弾にして敵に放つ。
0x0030a5d4 ファイアボール　体内にためた炎を吹き出す。
0x0030a600 テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x0030a642 アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x0030a67a アイアンクロー　鋭い爪で敵を切り刻む。
0x0030a6a2 ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x0030a6dc レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x0030a71e チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x0030a760 プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x0030a7a2 ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x0030a7e4 ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x0030a81e レッドローブ　　魔法使いのマント
0x0030a840 ブルーローブ　　魔法使いのマント
0x0030a862 イエローローブ　魔法使いのマント
0x0030a884 シルバーローブ　魔法使いのマント
0x0030a8a6 ゴールドローブ　魔法使いのマント
0x0030a8c8 ウッドシールド　木製なので軽くて動きやすいが防御能力は低い。
0x0030a906 スモールシールドウッドシー
0x0030aa50 ルドより少し小さいがなかなか丈夫である
0x0030aa78 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x0030aab6 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x0030aaf8 ゴールドシールドこの盾は最強の盾といえるだろう。
0x0030ab2a ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x0030ab5a メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x0030ab8a プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x0030abba ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x0030abea ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x0030ac1a 無敵　　　　　　一定時間無敵！！
0x0030ac3c ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x0030ac78 スパイクブーツ　氷の上でも滑らない。
0x0030ac9e 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x0030ace0 ツルハシ　　　　
0x0030acf2 ダガー　　　　　投げナイフ。
0x0030ad10 ブーメラン　　　回転しながら手元にもどってくる、武器。
0x0030ad48 オレンジ　　　　体力が２０回復する。
0x0030ad6e チェリー　　　　体力が５０回復する。
0x0030ad94 リンゴ　　　　　体力が完全回復する。
0x0030adba 金塊　　　　　　
0x0030adcc エリクサー　　　復活剤。
0x0030ade6 ブーメランＤＸ　ブーメランのパワーアップ型。

0x0030c1c5 プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー
0x0030c209 プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド
0x0030c24d プラズマシールドPウォーターミラーPバトルシールド　煬ｶ影の腕輪　　　

0x00325ac3 どれをお求めに　なりますか？
0x00325ae1 　でよろしい　　　　　　ですか？
0x00325b02 　ＹＥＳ
0x00325b14 あなたはそのアイテムをこれ以上持てません。
0x00325b40 お金が足りません
0x00325b54 ありがとうございました。
0x00325b6e 何を売っていただけますか？
0x00325b8a になります。　　
0x00325b9b 　ＹＥＳ
0x00325bad これ以上　売れるものがありません
0x00325bcf 治療に　　　　　ゴールド必要です治療しますか？　
0x00325c00 　ＹＥＳ
0x00325c12 どこにも異常は　ないようです。
0x00325c32 お大事に‥‥。

0x00364949 メイル
0x00364955 タット

0x003661ce ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x0036620c ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x0036624e ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x00366290 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x003662d2 ライトセイバー　現存する剣の中で最強を誇る剣。
0x00366302 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x00366344 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x00366376 サンダーの魔法　雷の槍が敵を　　貫通
0x0036639c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x003663de フォース　　　　自らの魔力を弾にして敵に放つ。
0x0036640e ファイアボール　体内にためた炎を吹き出す。
0x0036643a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x0036647c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x003664b4 アイアンクロー　鋭い爪で敵を切り刻む。
0x003664dc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x00366516 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x00366558 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x0036659a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x003665dc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x0036661e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x00366658 レッドローブ　　魔法使いのマント
0x0036667a ブルーローブ　　魔法使いのマント
0x0036669c イエローローブ　魔法使いのマント
0x003666be シルバーローブ　魔法使いのマント
0x003666e0 ゴールドローブ　魔法使いのマント
