
0x00066cb4 なんいど：
0x00066cc0 シスレベ：
0x00066ccc ゲーレベ：
0x00066cd8 コンティ：
0x00066ce4 ライフ　：
0x00066cf8 トータル：

0x0008ebd4 Ｄチーム
0x0008ebe0 Ｃチーム
0x0008ebec Ｂチーム
0x0008ebf8 Ａチーム
0x0008ec04 ほうだいザコ
0x0008ec14 エクスカリバ
0x0008ec24 ハヤテ
0x0008ec2c ゴッドハンド
0x0008ec3c ダディ
0x0008ec54 まりな
0x0008ec5c チョースケ
0x0008ec68 エスパーけん
0x0008ec78 ジョンＭｋ−２
0x0008ec88 ウルトラジョニー
0x0008ec9c ジョンカリバ
0x0008ecb4 つぼはち
0x0008ecc0 ピータン
0x0008eccc ササミ
0x0008ecd4 ユキヲ

0x001a5d08 ステージセレクト
0x001a5d1c レベルセレクト
0x001a5d2c けってい
0x001a5d38 レベル／

0x001a5d50 イージー
0x001a5d5c ノーマル
0x001a5d68 ハード
0x001a5d70 スーパー
0x001a8e79 祿‾戦V
0x001b25b4 ユキヲ
0x001b25d2 ピータン
0x001b25f0 エスパー
0x001b260e ハヤテ
0x001b262c まりな
0x001b264a チョー
0x001b2668 エクス
0x001b2673 カリバ
0x001b2686 ササミ
0x001b26a4 つぼはち
0x001b26fe ダディ
0x001b271c ウルトラ
0x001b2727 ジョニー
0x001b273a ジョン
0x001b2745 カリバ
0x001b2758 ほうだい
0x001b2776 ジョン
0x001b2781 Ｍｋー２
0x001b27b2 ゴット
0x001b27bd ハンド
0x001b27d0 ランダム

0x001b2d64 スタート
0x001b2d80 アイテムセレクト
0x001b2db8 ＯＦＦ
0x001b2dd4 ＯＫ？
0x001b2e3c ブラックホール

0x001b2eac グレネード
0x001b2ee4 ジライ
0x001b2f1c ホーミングミサイル
0x001b2f54 スマイリーボール
0x001b2f8c はいちアイテム
0x001b32fc タイジンなげ
0x001b343c タイブツなげ
0x001b344c ジャンプ
0x001b3458 トクシュわざ
0x001b3468 ひだりかいてん
0x001b3478 みぎかいてん
0x001b3488 みしよう１
0x001b3494 みしよう２

0x001115dc つづける
0x001115e6 やめる
0x001115f0 メモリーカードがさしこみロ１に
0x00111610 ささっていません。
0x00111624 うわがきセーブします。
0x0011163c うわがきセーブちゅうです。
0x00111658 セーブしゅうりょうしました。
0x00111678 セーブにしっぱいしました。
0x00111694 データがこわれています。
0x001116b0 うわがきしますか？

0x001116dc メモリーカードがしょきか
0x001116f8 されていません。しょきかしますか？
0x0011171c しょきかちゅうです。
0x00111734 しょきかがおわりました。
0x00111750 ファイルがありません。
0x00111768 よみこみがおわりました。
0x00111784 オートロードします。
0x0011179c オートセーブします。
0x001117b4 メモリーカードにあきブロックが
0x001117d4 たりません。
0x001117e4 セーブします。
0x001117f4 ロードします。
0x00111804 メモリーカードがしょきか
0x00111820 されていません。
0x00111834 オートロードします。
0x0011184c セーブがしゅうりょうしました。
0x0011186c セーブにしっぱいしました。
0x00111888 うわがきセーブします。
0x001118a0 メモリーカード、コントローラの
0x001118c0 ぬきさしはしないでください。
0x001118e0 チェックちゅうです。
0x001118f8 データがこわれています。
0x00111914 メモリーカードがぬかれました。
0x00111934 ロードします。
0x00111944 メモリーカードがさしかえられま
0x00111964 した。セーブしますか？
0x0011197c メモリーカードが
0x00111990 ささっていません。
0x001119a4 しょきかにしっぱいしました。
0x001119c4 ロードにしっぱいしました。
0x001119e0 ここではセーブができませんが
0x00111a00 よろしいですか？
0x00111a14 オートロードできませんでした。

0x0011328c リスタート？

0x0011344c まだまだあまいな
0x00113460 ちょっとてかげんしてやろう
0x0011347c なかなかやるな
0x0011348c ちょっとホンキだしてやるか
0x001134a8 スマイリーボールを
0x001134bc つかいこなそう！
0x001134d0 アイテムを
0x001134dc つかいこなそう！
0x001134f0 たくさんのテキと
0x00113504 たたかおう！
0x00113850 いまここに　ちからつきる
0x0011386c キミのことはわすれない。。。
0x0011388c はホシになった
0x0011389c シしてシカバネひろうものなし
0x001138bc オマエはよわかった
0x001138d0 グッバイフォーエバー
0x00113a18 だいおうじょう
0x00113a28 なんだそのザマは？
0x00113a3c おまえのチカラはこんなものか
0x00113a5c プレイヤーがわるかったな
0x00113a78 きみにナミダはにあわない
0x00113a94 アンタ、まぶしかったぜ
0x00113aac おやおや、どうしたんだい？
0x00113ac8 またオマエか。。。
0x00113adc だれにでもミスはある
0x00113af4 あきらめるのはまだはやい
0x00113b10 オマエらしいよ
0x00113b20 いいわけは　いらない
0x00113b38 わるあがきは　よせ
0x00113b4c みぐるしいぜ
