0x0007f1bc 二人で遊ぶ
0x0007f1c8 モードをえらんでください
0x0007f1e4 １Ｐ（おや）
0x0007f1f4 ２Ｐ（こ）
0x0007f200 ＤＳワイヤレス通信を
0x0007f218 行います。
0x0007f224 接続してよろしいですか？
0x0007f240 接続しない
0x0007f24c 接続する
0x0007f258 接続待ち
0x0007f264 ２Ｐを受け付けています。
0x0007f280 しばらくお待ちください。
0x0007f29c ２Ｐを承認しますか？

0x0007f2cb A：キャンセル
0x0007f2dc 接続待ち
0x0007f2e8 １Ｐをさがしています。
0x0007f300 しばらくお待ちください。
0x0007f31c 接続する１Ｐを
0x0007f32c 選んでください。
0x0007f340 １Ｐの承認待ちです。
0x0007f358 しばらくお待ちください。
0x0007f39c 通信エラー
0x0007f3a8 ＤＳワイヤレス通信が
0x0007f3c0 切断されました。
0x0007f3dc タイトルへもどります。

0x0008424c レベル
0x00084254 経験値
0x0008425c 攻撃力
0x000856d4 データがありません
0x000856e8 最初からはじめる
0x00085730 データがありません
0x00085748 ゲームをはじめる
0x0008575c ミニゲームであそぶ
0x00085770 おはなしをみる

0x000857c4 かんたん
0x000857d0 ふつう
0x000857d8 むずかしい
0x000857e4 じごく
0x00085808 このクリアデータで
0x0008581c はじめからあそびますか？
0x00085840 いいえ
0x0008586c ファイル１にセーブして
0x00085884 ファイル２にセーブして
0x0008589c ファイル３にセーブして
0x000858b4 よろしいですか？
0x000858c8 ファイル１にデータを
0x000858e0 ファイル２にデータを
0x000858f8 ファイル３にデータを
0x00085910 上書きしてセーブします。
0x0008592c よろしいですか？
0x00085948 いいえ
0x00085974 ここまでのデータを
0x00085988 クリアデータを
0x00085998 ランキングデータを
0x000859ac セーブしますか？
0x000859c8 いいえ
0x000859f4 データをセーブしました。
0x00085a10 このままゲームを
0x00085a24 続けますか？
0x00085a3c いいえ
0x00085a68 データをセーブ中です。
0x00085a80 カードをぬかないで
0x00085a94 ください。
0x00085ac4 データを初期化中です。
0x00085adc カードをぬかないで
0x00085af0 ください。
0x00085b20 ランキングデータを
0x00085b34 セーブ中です。カードを
0x00085b4c ぬかないでください。
0x00085b88 セーブデータが壊れて
0x00085ba0 います。壊れたデータを
0x00085bb8 消去します。
0x00085bec データをセーブしました。
0x00085c2c データを書けませんでした。
0x00085c48 データを読めませんでした。
0x00085c64 電源を切って、カードを
