0x000396f9 ワルキューレ達を乗せた船は、　　
0x0003971a 一路、アファ大陸を目指します。　
0x00039748 かんむり岬を出航してまもなく、　
0x00039769 船はアファの南岸に近づきました。
0x00039798 しかし、そこははじまりの国から　
0x000397b9 逃げ出したタッタ族が居座っていて
0x000397da 近づく事ができません。　　　　　
0x00039808 やむなくワルキューレ達は、　　　
0x00039829 海岸線に沿って　　　　　　　　　
0x0003984a 北へと向かいました。　　　　　　
0x000398bc えんえん砂漠。　　　　　　　　　
0x000398dd そこは昔、アファ大陸の中心で、　
0x000398fe 緑あふれる肥沃な土地でした。　　
0x0003992c うわさではゾウナが呼んだ風が、　
0x0003994d 数日の内にこの地を砂漠に　　　　
0x0003996e 変えたのだと言う事です。　　　　
0x0003999c そんな恐ろしい力を持つゾウナに、
0x000399bd 果たしてワルキューレは、　　　　
0x000399de 太刀打ち出来るのでしょうか？　　
0x00039a3c 脱出したワルキューレの後ろで、　
0x00039a5d ピラミッドはゆっくりと崩れて行き
0x00039a7e やがて砂の海に沈んでいきました。
0x00039aac それから数日後。　　　　　　　　
0x00039acd 北へと進むワルキューレの前に、　
0x00039aee ようやく緑が広がり始めました。　
0x00039b1c 久しぶりに、人の生活の　　　　　
0x00039b3d においもします。　　　　　　　　
0x00039b6c カルデラ山岳地帯。　　　　　　　
0x00039b8d そこには、精霊の血を引くと　　　
0x00039bae いわれる美しい姫君が治める　　　
0x00039bdc 大きな町があるといいます。　　　
0x00039c0c そこへ行けば、　　　　　　　　　
0x00039c2d 何かゾウナの居所について判るかも
0x00039c4e 知れません・・・。　　　　　　　
0x00039cd4 虹の橋の上から彼方のカルデラ城を
0x00039cf5 見納めしつつ、ワルキューレは　　
0x00039d16 先へ進みました。　　　　　　　　
0x00039d44 荒れ狂うローレライの海を眼下に、
0x00039d65 やがて橋は、白く霞んだ大地へと　
0x00039d86 降りていきました。　　　　　　　
0x00039db4 そこは凍土に覆われた大地。　　　
0x00039dd5 南は富の国フルータジアに面する　
0x00039df6 マッコウ大陸でした。　　　　　　
0x00039e4c 全速力でフルータジアを　　　　　
0x00039e6d 離れるマッコウ。　　　　　　　　
0x00039e8e ぐんぐんと小さくなっていく海岸。
0x00039ebc その時すでにワルキューレは、　　
0x00039edd 肌身でゾウナの気配を　　　　　　
0x00039efe 感じていました。　　　　　　　　
0x00039f2c スフィンモスによる、　　　　　　
0x00039f4d フルータジアの封印が　　　　　　
0x00039f6e 解かれて数日。　　　　　　　　　
0x00039f9c いよいよゾウナの力は　　　　　　
0x00039fbd マーベルランド中に　　　　　　　
0x00039fde 広がり始めていたのです。　　　　
0x0003a00c しかし、　　　　　　　　　　　　
0x0003a02d もう後戻りは出来ません。　　　　
0x0003a05c すでにワルキューレの前に、　　　
0x0003a07d ゾウナの島が黒々とした姿を　　　
0x0003a09e 現していました。　　　　　　　　
0x0003a13d ゾウナとの戦いから無事生還した　
0x0003a15e ワルキューレを待っていたのは、　
0x0003a18c マッコウやクリノ、ティアナ姫、　
0x0003a1ad そして、クリノをゾウナの島へ　　
0x0003a1ce 送り届けたエンリケ族達でした。　
0x0003a1fc ワルキューレ達はエンリケ族の船に
0x0003a21d 乗り込み、フルータジアから　　　
0x0003a23e マッコウ大陸に沿って　　　　　　
0x0003a26c 海岸線を北へと向かいました。　　
0x0003a29c 人々はこれからそれぞれ、　　　　
0x0003a2bd 自分たちの元いた場所、故郷へと　
0x0003a2de 帰っていきます。　　　　　　　　
0x0003a30c 誰の顔も、未来への希望と、　　　
0x0003a32d マーベルランドを復興させる　　　
0x0003a34e 使命感とに満ち溢れ、　　　　　　
0x0003a37c 輝いていました。　　　　　　　　
