0x0003f171 来おったな、乙女の騎士よ！　　　
0x0003f1a0 では、楽しませてもらうとするか！
0x0003f1c1 おおおおおおおおおお・・・。　　
0x0003f210 ぬぬぬぅっ・・・・。　　　　　　
0x0003f231 こ、これしきのことでぇ！　　　　
0x0003f260 かくなる上はゾウナ様の　　　　　
0x0003f281 お力を借りて・・・ゾウナ様！　　
0x0003f2a2 どうか我に更なる力を！　　　　　
0x0003f2d0 今度こそ、乙女の騎士を倒して　　
0x0003f2f1 ごらんに入れましょう！　　　　　
0x0003f320 貴様が乙女の騎士か・・・　　　　
0x0003f341 ようやく相見えることができた　　
0x0003f362 というわけだな。　　　　　　　　
0x0003f390 ふっふっふ・・・。　　　　　　　
0x0003f3c0 ところで乙女の騎士よ、　　　　　
0x0003f3e1 お前はどう考える？　　　　　　　
0x0003f410 マーベルランドに住まうものどもの
0x0003f431 事を・・・。　　　　　　　　　　
0x0003f460 なんともちっぽけな存在だとは　　
0x0003f481 おもわぬか。　　　　　　　　　　
0x0003f4b0 だがな・・・奴等にも素晴らしい　
0x0003f4d1 力がひとつだけある。　　　　　　
0x0003f4f2 それが何かわかるか？　　　　　　
0x0003f520 ・・・欲望だよ。　　　　　　　　
0x0003f550 おのれの幸福、　　　　　　　　　
0x0003f571 おのれの富、　　　　　　　　　　
0x0003f592 おのれの生のみを求める心。　　　
0x0003f5c0 生者のもつ、　　　　　　　　　　
0x0003f5e1 もっとも強く、　　　　　　　　　
0x0003f602 もっとも暗き力。　　　　　　　　
0x0003f630 それは太古より地の底にたまり、　
0x0003f651 われを生み出す源ともなった　　　
0x0003f672 すばらしき力・・・それが欲望！　
0x0003f6a0 そして、乙女の騎士よ。　　　　　
0x0003f6c1 欲望はまた、おまえの中にも　　　
0x0003f6e2 あるのだ。　　　　　　　　　　　
0x0003f710 乙女の騎士よ。　　　　　　　　　
0x0003f731 我を討たんとするならば、　　　　
0x0003f760 砂漠を越え、　　　　　　　　　　
0x0003f781 ピラミッドを目指すがいい。　　　
0x0003f7b0 人の欲望が作り出した、　　　　　
0x0003f7d1 玩具のような戦いの道具が　　　　
0x0003f7f2 あらわるそこで・・・。　　　　　
0x0003f820 我はおまえを、　　　　　　　　　
0x0003f841 待っておるよ・・・。　　　　　　
0x0003f970 クリノ！　　　　　　　　　　　　
0x0003f991 クリノだね！　　　　　　　　　　
0x0003f9b2 ああ・・・会いたかった！　　　　
0x0003f9e0 ・・・サビーヌだよ！　　　　　　
0x0003fa01 覚えてるだろう？　　　　　　　　
0x0003fa30 魔物のいけにえに　　　　　　　　
0x0003fa51 されかかっていた所を、　　　　　
0x0003fa72 あんたに救われた・・・。　　　　
0x0003faa0 聞いてくれクリノ・・・母さんが、
0x0003fac1 母さんが大変なんだ！　　　　　　
0x0003faf0 風化病にかかっちまったんだよ！　
0x0003fb11 もう体が半分　　　　　　　　　　
0x0003fb32 石みたいになってる・・・。　　　
0x0003fb60 でも、幻の薬さえあれば　　　　　
0x0003fb81 助かるって聞いた・・・。　　　　
0x0003fba2 見つけたんだろう？　　　　　　　
0x0003fbd0 噂は聞いたよ。　　　　　　　　　
0x0003fbf1 頼む、その薬を・・・。　　　　　
0x0003fc12 母さんにも・・・。　　　　　　　
0x0003fc40 ・・・クリノ？　　　　　　　　　
0x0003fc61 どうしたんだ、返事してくれよ！　
0x0003fc82 クリノ！　　　　　　　　　　　　
0x0003fcb0 これより先は、ゾウナ様の聖域。　
0x0003fcd1 なんびとたりとも　　　　　　　　
