0x000436f5 ・・・・・・・んん？　　　　　　
0x00043716 ここ・・・どこだっけ？　　　　　
0x00043744 んんんんん〜〜〜〜〜〜〜。　　　
0x00043765 なんだかからだがぁ〜〜〜。　　　
0x00043786 なまってるぅ〜〜〜〜〜〜。　　　
0x000437b4 んんんんんんんん〜〜〜！　　　　
0x000437d5 ひと暴れしたい気分んんん〜〜〜！
0x000437f6 よおおおしい〜〜〜。　　　　　　
0x00043824 お〜〜〜れ〜〜〜も〜〜〜。　　　
0x00043845 い〜〜〜く〜〜〜ぞおおお〜〜〜！
0x00043874 ＜雷の術を手に入れた！＞　　　　
0x000438ec ＜どこかで扉の開く音がした＞　　
0x0004392c ＜とびらは、固く閉ざされている＞
0x0004396c ふむ・・・。　どうやらわがはいを
0x0004398d あの巨人の中から助け出して　　　
0x000439ae くれたのはきみのようだね？　　　
0x000439dc ふむ・・・　　　　　　　　　　　
0x000439fd たった一人でこの迷宮にいどみ、　
0x00043a1e あのゾウナに立ち向かう娘か・・　
0x00043a4c 気に入った！　　　　　　　　　　
0x00043a6d わがはいは、火の精霊！　ぜひ　　
0x00043a8e 旅のお供に加えていただきたい！　
0x00043abc ＜炎の術を手に入れた！＞　　　　
0x00043b2c ＜何だか動きがおかしい・・・。＞
0x00043b5c ＜・・・どうやらこちらを敵と認識
0x00043b7d していないようだ。＞　　　　　　
0x00043bac ＜これなら、放っておいても　　　
0x00043bcd 大丈夫だろう。＞　　　　　　　　
0x00043bfc ＜ワルキューレの杖を　　　　　　
0x00043c1d 見ているようだ・・・。＞　　　　
0x00043c4c ＜何か思いついたらしい。＞　　　
0x00043c7c ＜何か伝えたい事が　　　　　　　
0x00043c9d あるようだ・・・。＞　　　　　　
0x00043ccc ＜わからない・・・。＞　　　　　
0x00043cfc ＜・・やっぱりわからない・・。＞
0x00043d2c ＜・・・いってしまった・・・。＞
0x00043d5c ＜一体何だったんだろう・・・？＞
0x00043e30 きたか・・・。　　　　　　　　　
0x00043e51 とうとう、ここまで・・・。　　　
0x00043e80 新月王ばかりか、あの黒きサンドラ
0x00043ea1 をも打ち破るとはな・・・。　　　
0x00043ed0 さすがは天界に遣わされし者。　　
0x00043ef1 大したものだと誉めてやろう・・。
0x00043f20 ・・・だが、ここまでだ。　　　　
0x00043f41 お前を永久の暗黒の世界へ　　　　
0x00043f62 誘ってやる。　　　　　　　　　　
0x00043f90 くっくっく・・・無駄だ。　　　　
0x00043fb1 ここではおまえの力、　　　　　　
0x00043fd2 使えはせぬよ・・・。　　　　　　
0x00044000 乙女の騎士よ・・・。　　　　　　
0x00044021 ここまで随分と楽しませて　　　　
0x00044042 もらったが・・・。　　　　　　　
0x00044070 ・・・そろそろ終わりにしよう。　
0x00044091 出でよ、リジャック！　　　　　　
0x000440c0 リジャックよ！　　　　　　　　　
0x000440e1 乙女の騎士の魂を・・・　　　　　
0x00044102 この場にて、丁重に封じるのだ！　
0x00044130 ・・・む？　　　　　　　　　　　
0x00044151 ・・・何だ貴様？　　　　　　　　
0x00044172 何をしにここまで来た・・・？　　
0x000441a0 それは・・・！　　　　　　　　　
0x000441c1 貴様、何のつもりかっ！　　　　　
0x000441f0 この、痴れ者が！　　　　　　　　
0x00044220 なぜだ・・・。　　　　　　　　　
0x00044241 なぜロボティアンが乙女の騎士に　
0x00044262 加勢を・・・。　　　　　　　　　
0x00044290 ・・・そうか、さきほど　　　　　
0x000442b1 製造機の中に残っていたものが、　
0x000442d2 爆発のショックで・・・。　　　　
0x00044300 忌々しい・・・。　　　　　　　　
0x00044321 消えろ！　　　　　　　　　　　　
0x00044350 おのれ・・・。　　　　　　　　　
0x00044371 なんと悪運の強いやつよ・・・。　
0x00044392 さあ、その杖を我に返すのだ・・　
0x000444b4 これが・・・　　　　　　　　　　
0x000444d5 秘められし天界の武具の力か。　　
0x000444f6 我が影を倒すとは・・・。　　　　
0x00044524 乙女の騎士よ、　　　　　　　　　
0x00044545 貴様をここから出させはせぬ。　　
0x00044574 杖もろとも、　　　　　　　　　　
0x00044595 地中深く埋もれて　　　　　　　　
0x000445b6 朽ち果てるがよい！　　　　　　　
0x0004460c へへ、ビックリした？　　　　　　
0x0004462d ワルキューレ様、久しぶりだね！　
0x0004465c ボクだよ、　　　　　　　　　　　
0x0004467d エンリケ族の・・・。　　　　　　
0x000446ac なんでこんな所にいるのかって？　
0x000446cd それはね・・・。　　　　　　　　
0x000446fc とにかくボクについてきて、　　　
0x0004471d そしたらもっとビックリするから！
0x00044780 お〜〜〜〜〜い。　　　　　　　　
0x000447b0 お〜〜〜い、こっち、　　　　　　
0x000447d1 こっちだよお！　　　　　　　　　
0x000447f2 ワルキューレさ〜ん！　　　　　　
0x00044820 さあ、はやくぼくの背中に　　　　
0x00044841 乗るんだ！　　　　　　　　　　　
0x00044862 さあ！　　　　　　　　　　　　　
0x00044890 フルータジアの結界が　　　　　　
0x000448b1 消えた時から、　　　　　　　　　
0x000448d2 ずっと君を探していたんだ！　　　
0x00044900 妖精さんには　　　　　　　　　　
0x00044921 止められたけれどね・・・。　　　
0x00044950 ・・・魔王の島にいくんでしょ？　
0x00044971 だったら、ぼくにまかせて。　　　
0x000449a0 約束したでしょ？　　　　　　　　
0x000449c1 改めてお礼をするって。　　　　　
0x000449f0 さあ・・・全速力でいくよ！　　　
0x00044a20 よお〜し。　　　　　　　　　　　
0x00044a41 見えてきた、見えてきた。　　　　
0x00044a62 魔王の島！！　　　　　　　　　　
0x00044a90 この１００年くらいの間に　　　　
0x00044ab1 この海を越えた人って、　　　　　
0x00044ad2 一人もいないって話だよ？　　　　
0x00044b00 ふふふ・・・。　　　　　　　　　
0x00044b21 こりゃあ、すごい冒険になるぞお！
0x00044b50 ワルキューレさん！　　　　　　　
0x00044b71 上陸までもう少しだよ！　　　　　
0x00044b92 こっからは気を引き締めてぇ・・　
0x00044bc0 ・・・ん？　　　　　　　　　　　
0x00044bf0 うわ、き、来たなぁ〜〜？　　　　
0x00044c20 へへ、でもこの程度なら！　　　　
0x00044c50 わあ・・・。　　　　　　　　　　
0x00044c71 さすが魔王の庭先って感じ・・・。
0x00044ca0 でもまだこんなもんじゃ、　　　　
0x00044cc1 ボクの行く手を阻めな・・・。　　
0x00044cf0 ・・・・・・。　　　　　　　　　
0x00044d20 ワ、ワルキューレさん？　　　　　
0x00044d41 ごめん・・・。　　　　　　　　　
0x00044d70 先に行ってて！！　　　　　　　　
0x00044edc この先は、　　　　　　　　　　　
0x00044efd まだ魔物がうろついております。　
0x00044f1e ここは私達に任せてください。　　
0x00044f4c ようこそワルキューレ様！　　　　
0x00044f6d みんな城で、あなたが来るのを　　
0x00044f8e まっていますよ！　　　　　　　　
0x00044fbc 城へは、十字路を南に行けば　　　
0x00044fdd すぐです。　　　　　　　　　　　
0x00045044 へへへ、　　　　　　　　　　　　
0x00045065 どうやらご無事のようですね？　　
0x00045094 それでこそあっし達の女神さまだ！
0x000450b5 ・・・おっと。　　　　　　　　　
0x000450d6 そうそう、忘れねえ内にっ、と。　
0x00045104 ＜万能鍵を取り上げられて　　　　
0x00045125 しまった。＞　　　　　　　　　　
0x00045154 ん？　　　　　　　　　　　　　　
0x00045175 ・・・ああっ！　　　　　　　　　
0x00045196 こんな所に見慣れないキズが！　　
0x000451c4 あ〜あ、何かむちゃな使い方を　　
0x000451e5 したんじゃないですかぁ？　　　　
0x00045214 ・・・ま、女神様の祝福を　　　　
0x00045235 頂いたって事にでもしときますか？
0x00045264 ・・・さて、さすがのあっしも、　
0x00045285 ご一緒できるのはここまでです。　
0x000452b4 ・・・だからこそっ！　　　　　　
0x000452d5 ワルキューレ様、今回の品揃えは　
0x000452f6 半端じゃなく豪華ですよお〜。　　
0x00045324 さあ、じっくり見てって下さい！　
0x000453c4 へへ・・・こんな事言うのは、　　
0x000453e5 あっしのガラじゃねえんですがね　
0x00045406 ワルキューレ様・・・　　　　　　
0x00045434 がんばってくだせえよ！　　　　　
