0x0004acf9 ああ・・・助かったわ。　　　　　
0x0004ad1a 旅の人ね、ありがとう！　　　　　
0x0004ad48 ごめんなさい、　　　　　　　　　
0x0004ad69 今ちょっと急がないといけないの、
0x0004ad8a 後でまたお礼に伺うわ。　　　　　
0x0004adb8 じゃあね。　　　　　　　　　　　
0x0004ae10 ここよワルキューレさん！　　　　
0x0004ae31 ここがローレライに続く廃坑よ！　
0x0004ae60 ワルキューレさん！　　　　　　　
0x0004ae81 危ないからはなれていましょ。　　
0x0004aeb0 すっごい爆発だったわね！　　　　
0x0004aed1 耳が変になっちゃった・・・。　　
0x0004af00 ・・・うわあ・・・。　　　　　　
0x0004af21 いかにも何か出て来そう。　　　　
0x0004af42 やっぱりちょっとこわいなぁ・・　
0x0004afc8 なんてこと・・・！　　　　　　　
0x0004afe9 海賊どもの仕業ね。　　　　　　　
0x0004b018 なんてことかしら。　　　　　　　
0x0004b039 ここを塞がれるなんて・・・。　　
0x0004b068 う〜ん・・・。　　　　　　　　　
0x0004b089 そうだ！　　　　　　　　　　　　
0x0004b0aa ピクシー村の方舟じいさんなら、　
0x0004b0d8 きっと何か、いい知恵を　　　　　
0x0004b0f9 かしてくれるかも！　　　　　　　
0x0004b128 方舟じいさんは、　　　　　　　　
0x0004b149 カルデラいちの発明家なの！　　　
0x0004b178 わたしがいっしょにいって　　　　
0x0004b199 お願いしてあげる！　　　　　　　
0x0004b1c8 ＜フェアリーが仲間になった！＞　
0x0004b250 ・・・いたぁいよう・・・。　　　
0x0004b280 だれか・・・たすけて・・・。　　
0x0004b2b0 ク・・・クジラ？　　　　　　　　
0x0004b2e0 わあ・・・ワルキューレさん、　　
0x0004b301 この子の尾ひれを見て・・・。　　
0x0004b330 ＜尾ひれがちぎれて、　　　　　　
0x0004b351 ほとんどなくなっている。＞　　　
0x0004b380 痛そ〜う・・・。　　　　　　　　
0x0004b3a1 ねぇ、クジラさん？どうしてこんな
0x0004b3c2 浅瀬なんかに入っちゃったの？　　
0x0004b3f0 ・・・ぼく・・・この海の　　　　
0x0004b411 向こう側が見てみたかったんだ。　
0x0004b440 前に、クリノっていうトモダチに、
0x0004b461 海の向こうの世界のお話を　　　　
0x0004b482 聞いて・・・。　　　　　　　　　
0x0004b4b0 それ以来、ずっと、海の向こうの　
0x0004b4d1 世界にあこがれてたんだ。　　　　
0x0004b4f2 それで・・・。　　　　　　　　　
0x0004b520 それで、こんな所まできたのね？　
0x0004b550 うん・・・でも、いつのまにか　　
0x0004b571 こんな浅瀬に迷い込んじゃって・・
0x0004b5a0 だから、急いで　　　　　　　　　
0x0004b5c1 抜け出そうとしたんだ。　　　　　
0x0004b5f0 でも、海からの強い波に　　　　　
0x0004b611 押し返されちゃって・・・。　　　
0x0004b632 どんどん浅瀬の奥まで流されて。　
0x0004b660 尾ひれはそのとき、　　　　　　　
0x0004b681 何度も川底に当たって、　　　　　
0x0004b6a2 す、すりきれちゃったんだよう・　
0x0004b6d0 水かさの多い今なら、　　　　　　
0x0004b6f1 がんばれば海に帰れる　　　　　　
0x0004b712 んだけど・・・。　　　　　　　　
0x0004b740 尾ひれがこんなんじゃあ、　　　　
0x0004b761 むりだよう・・・。　　　　　　　
0x0004b790 あいてがクジラさんじゃあ、　　　
0x0004b7b1 普通の傷薬とかじゃあ　　　　　　
0x0004b7d2 だめかもね・・・。　　　　　　　
0x0004b800 ワルキューレさん、お医者様か、　
0x0004b821 お薬にくわしい人とか　　　　　　
0x0004b842 知らない？　　　　　　　　　　　
0x0004b870 ・・・いたぁい・・・。　　　　　
0x0004b8a0 ・・・あれ・・・？　　　　　　　
0x0004b8c1 いたくない・・・。　　　　　　　
0x0004b8f0 あっ！　　　　　　　　　　　　　
0x0004b911 ぼ、ぼくの尾ひれが！　　　　　　
0x0004b932 な、治ってる！　　　　　　　　　
0x0004b960 よかったね、クジラさん。　　　　
0x0004b990 あ、ありがとう・・・！　　　　　
0x0004b9b1 ほんとうに、ほんとうに・・・。　
0x0004b9d2 そうだ！なにかお礼を・・・。　　
0x0004ba00 ・・・ううん・・・。　　　　　　
0x0004ba21 今は、これくらいしか　　　　　　
0x0004ba42 ないかなあ？　　　　　　　　　　
0x0004ba70 ＜虹の粉を手に入れた！＞　　　　
0x0004baa0 どこか海岸で使ってごらん。　　　
0x0004bac1 すると僕が潮吹きで作るような　　
0x0004bae2 ‘虹の橋’が出来るんだ！　　　　
0x0004bb10 その虹の橋を渡れば、　　　　　　
0x0004bb31 どこにでもいける・・・！　　　　
0x0004bb60 と、言いたいとこだけど、　　　　
0x0004bb81 マッコウ大陸のむこうの海にだけは
0x0004bba2 行けないみたいなんだ。　　　　　
0x0004bbd0 なにか強い力で　　　　　　　　　
0x0004bbf1 まもられているみたいで、　　　　
0x0004bc12 まるで近づけない・・・。　　　　
0x0004bc40 とにかく、ほんとうにありがとう！
0x0004bc61 きっとあらためてお礼をするよ！　
0x0004bc82 きっとね！　　　　　　　　　　　
0x0004bcb0 い、いたた・・・。　　　　　　　
0x0004bcd1 ま、まだだめかな・・・。　　　　
0x0004bd00 ・・・ワルキューレさん。　　　　
0x0004bd21 わたし、このクジラさんの　　　　
0x0004bd42 ケガが完全に治るまで、　　　　　
0x0004bd70 ついていてあげようと思うの。　　
0x0004bda0 どうかお元気で・・・。　　　　　
0x0004bdc1 あなたの冒険が、　　　　　　　　
0x0004bde2 成功しますようにって、　　　　　
0x0004be10 わたし、ずっとお祈りしてます。　
0x0004c02c ＜虹の粉が、朝日に照らされて、　
0x0004c04d ほのかに光り出す。＞　　　　　　
0x0004c08c 親分！　　　　　　　　　　　　　
0x0004c0ad 虹の上を、に、人間が歩いてる！　
0x0004c0dc あいつ、こないだ山道を　　　　　
0x0004c0fd いこうとしていた奴ですよ！　　　
0x0004c12c なにぃ？　　　　　　　　　　　　
0x0004c14d どうやってここまで来たのかは　　
0x0004c16e 知らんが・・・。　　　　　　　　
0x0004c19c ふむ・・・。　　　　　　　　　　
0x0004c1bd なかなか骨のある奴と見た。　　　
0x0004c1ec むう？　　　　　　　　　　　　　
0x0004c20d ・・・もしや・・・あいつは！　　
0x0004c23c お、親分？　　　　　　　　　　　
0x0004c26c ・・・！まちがいねえ！　　　　　
0x0004c28d あいつが乙女の騎士、　　　　　　
0x0004c2ae ワルキューレだ！　　　　　　　　
0x0004c2dc ええっ！　　　　　　　　　　　　
0x0004c2fd あの小娘が？　　　　　　　　　　
0x0004c32c 新月王や、ピラミッドの　　　　　
0x0004c34d 黒い魔物もやっつけたっていう・・
0x0004c37c うろたえるな！　　　　　　　　　
0x0004c3ac この空中戦艦は、　　　　　　　　
0x0004c3cd あのサンドラ野郎に沈められた前の
0x0004c3ee 船とはワケがちがうのだ！　　　　
0x0004c41c 勝てる！　　　　　　　　　　　　
0x0004c43d 勝てるぞ！　　　　　　　　　　　
