0x0003d1c1 チッ・・・ダメか。　　　　　　　
0x0003d1f0 これだけぶったたいても　　　　　
0x0003d211 ビクともしねえ・・・。　　　　　
0x0003d232 まったくいまいましい扉だ！　　　
0x0003d260 ・・・ン？　　　　　　　　　　　
0x0003d290 なんだ？おまえもティアラ目当てで
0x0003d2b1 ここまで来たクチか？　　　　　　
0x0003d2e0 残念だったな。　　　　　　　　　
0x0003d301 ティアラがあるって部屋の扉は、　
0x0003d322 ほれ、このとおり・・・。　　　　
0x0003d350 やたらに厳重な封印が　　　　　　
0x0003d371 されてやがる。　　　　　　　　　
0x0003d3a0 どうしてもほしいってんなら、　　
0x0003d3c1 扉をぶっ壊すくらいしかねえな。　
0x0003d3f0 はん・・・もっともおまえみたいな
0x0003d411 チビっこい小娘なんかじゃ　　　　
0x0003d432 やるだけ無駄ってところか？　　　
0x0003d460 これだけは言っといてやる。　　　
0x0003d481 オレのジャマはするな。　　　　　
0x0003d4b0 わかったら・・・とっとと失せろ。
0x0003d4e0 いいな！　　　　　　　　　　　　
0x0003d510 まったくいまいましい。　　　　　
0x0003d531 わざわざマッコウ大陸くんだりまで
0x0003d552 来たってのに！　　　　　　　　　
0x0003d580 強大な‘勇者’の力か・・・。　　
0x0003d5a1 ぜったいに手に入れてやる！　　　
0x0003d5d0 だが、さてどうするか？　　　　　
0x0003d5f1 ン〜ム・・・　　　　　　　　　　
0x0003d620 くそおおおおお！　　　　　　　　
0x0003d641 どうなってんだ？！　　　　　　　
0x0003d662 カケラは全部集めたじゃねえか！　
0x0003d690 なんでだあああああ！？　　　　　
0x0003d6c0 ！　　　　　　　　　　　　　　　
0x0003d6e1 お、おまえ、戻れたのか？！　　　
0x0003d710 ・・・そうか・・・。　　　　　　
0x0003d731 おまえがこのカケラに、　　　　　
0x0003d752 なにか細工しやがったな！？　　　
0x0003d780 白状しろ！　　　　　　　　　　　
0x0003d7a1 さもないと・・・　　　　　　　　
0x0003d7d0 むう？！その光・・・　　　　　　
0x0003d800 そうか・・・フフフ・・・。　　　
0x0003d821 おまえ、オレにニセモノをつかませ
0x0003d842 やがったな！？　　　　　　　　　
0x0003d870 なら、話は早い！　　　　　　　　
0x0003d891 腕ずくでもとりあげてくれるわ！！
0x0003d8c0 ま、まだまだぁ！！　　　　　　　
0x0003d8f0 はあっ、はあっ、はあっ、　　　　
0x0003d911 はあっ・・・。　　　　　　　　　
0x0003d932 ちょ、ちょっとたんま・・・。　　
0x0003d960 ぐ・・・　　　　　　　　　　　　
0x0003d981 ぎいいいいいいいっ！　　　　　　
0x0003d9b0 なぜだぁ！！？　　　　　　　　　
0x0003d9d1 なぜ、　　　　　　　　　　　　　
0x0003da00 オレが、　　　　　　　　　　　　
0x0003da21 おまえみたいなやつにぃ！？　　　
0x0003da50 なぜだぁ！！？　　　　　　　　　
0x0003da80 はあっ、はあっ、はあっ・・・。　
0x0003daa1 いつか　　　　　　　　　　　　　
0x0003dac2 オレは・・・オレは、　　　　　　
0x0003daf0 いつか必ず、きさまを倒す！！　　
0x0003db11 必ず！　　　　　　　　　　　　　
0x0003db32 必ずな！　　　　　　　　　　　　
0x0003db60 オレの名はカムーズ！！　　　　　
0x0003db81 この名を忘れるなぁ！！　　　　　
0x0003dbb0 ＜月の結晶が完成した！＞　　　　
0x0003ddd4 ・・・よくきたね、天の御使いよ。
0x0003de04 私はスフィンモス。　　　　　　　
0x0003de25 富の国フルータジアの門番を　　　
0x0003de46 務める者。　　　　　　　　　　　
